Nav Section,Page / Sub-Section,Element,Content Type Needed,Specific Content to Request from Client,Notes / Questions for Client,Priority,Status,Integrum Content,Remarks
How We Partner,SPARK — 5 Pillars,A — Acquire & Build (EPC),Stage Description,"2-4 sentence description of what happens in the 'Acquire & Build (EPC)' stage, deliverables, and typical timeline.",Ask for a real example or client quote illustrating this stage if available.,High,To Collect,Refer to the table in supportings,
How We Partner,SPARK — 5 Pillars,R — Run & Maintain (O&M),Stage Description,"2-4 sentence description of what happens in the 'Run & Maintain (O&M)' stage, deliverables, and typical timeline.",Ask for a real example or client quote illustrating this stage if available.,High,To Collect,Refer to the table in supportings,
How We Partner,SPARK — 5 Pillars,K — Keep Optimizing,Stage Description,"2-4 sentence description of what happens in the 'Keep Optimizing' stage, deliverables, and typical timeline.",Ask for a real example or client quote illustrating this stage if available.,High,To Collect,Refer to the table in supportings,
How We Partner,Risk Management,Price Risk,Explanation + Mitigation,"How Integrum manages tariff/price volatility risk for clients (e.g. fixed PPA structures, escalation caps).",Request specifics on contract structures used to hedge this risk.,Medium,To Collect,,
How We Partner,Risk Management,Regulatory Risk,Explanation + Mitigation,"How Integrum tracks and manages regulatory/policy risk (open access rules, banking regulations, state-level changes).",Ask for examples of regulatory changes successfully navigated.,Medium,To Collect,,
How We Partner,Risk Management,Execution Risk,Explanation + Mitigation,"How Integrum de-risks EPC execution (quality control, vendor management, timelines, penalties/guarantees).",Request data on on-time delivery track record if available.,Medium,To Collect,,
How We Partner,Risk Management,Generation Risk,Explanation + Mitigation,"How Integrum manages generation shortfall risk (P90/P50 estimates, insurance, guarantees, hybrid firming).",Ask if any generation guarantee or insurance product is offered.,Medium,To Collect,,
Solutions,The Model,Section Intro,Overview Copy,Explanation of 'How we structure the deal' — overview comparing the 3 models before diving into each.,Confirm which model is most commonly recommended/default.,High,To Collect,,
Solutions,The Model,Capex,Model Description,"Full explanation: client owns the asset, Integrum builds it. Include eligibility, typical ROI/payback, financing options, pros/cons vs other models.",Ask for a sample payback period and financing partners (if any) to mention.,High,To Collect,,
Solutions,The Model,Opex / Group Captive,Model Description,"Full explanation of IPP model with zero client ownership; group captive structure/eligibility rules (min 26% equity stake per regulation, etc.), tariff structure, contract tenure.",Confirm current regulatory eligibility criteria for group captive to ensure accuracy.,High,To Collect,,
Solutions,The Model,EaaS (Energy-as-a-Service),Model Description,"Explanation of Energy-as-a-Service — what's bundled (power, O&M, monitoring, upgrades), pricing basis (per-unit rate), contract length.",Ask how EaaS differs from Opex/Group Captive in practice.,High,To Collect,,
Solutions,The Model,Comparison,Model Comparison Table,"Side-by-side comparison of Capex vs Opex/Group Captive vs EaaS (ownership, upfront cost, risk, savings potential).",Request this as a simple table from client's commercial team.,Medium,To Collect,,
Solutions,Segments,Industries,Industry Descriptions,"Short description + relevant stats for each industry served: Manufacturing, Chemicals, Metals, Commercial Real Estate.",Ask for 1-2 sentence pain point + solution fit per industry.,High,To Collect,,
Solutions,Segments,Customers,Customer Profile Description,"Description of ideal customer profile: Large C&I, multi-location businesses, tariff-sensitive businesses — what qualifies them, typical load size (MW/kWh).",Ask for minimum load/consumption threshold to qualify for these solutions.,Medium,To Collect,,
Solutions,Technology,Solar Solutions,Product/Technology Description,"Description of solar offering — rooftop/ground-mount/floating, capacity ranges, technology partners/panel brands used.",Ask for specific panel/inverter brands and warranty terms.,High,To Collect,,
Solutions,Technology,Wind Solutions,Product/Technology Description,"Description of wind offering — turbine capacity, site selection criteria, technology/OEM partners.",Ask for turbine OEM names and typical project size.,High,To Collect,,
Solutions,Technology,Hybrid Solutions,Product/Technology Description (Flagship),"Detailed explanation of wind+solar hybrid — why it's the flagship offering, complementary generation profile, typical capacity utilization factor (CUF) improvement.",Request CUF/data comparison of hybrid vs standalone solar or wind.,High,To Collect,,
Solutions,Technology,Energy Storage — BESS,Product/Technology Description,"Description of battery storage offering — chemistry/type, capacity options, use cases (peak shaving, backup, arbitrage).",Ask for BESS technology partner and typical sizing guidance.,High,To Collect,,
Energy Intelligence Platform,Platform Overview,Section Intro,Value Proposition Copy,Explanation of the platform tagline 'Your energy. Visible. Intelligent. Always on.' and overall platform purpose/benefits.,Ask if platform has a distinct brand name of its own.,High,To Collect,,
Energy Intelligence Platform,Real-Time Dashboard,Section Intro,Client Portal Description,"Overview of the client portal — login access, who gets access (facility managers, finance, sustainability teams), device compatibility.",Request 2-3 real dashboard screenshots (with sensitive data redacted) for the site.,High,To Collect,,
Energy Intelligence Platform,Real-Time Dashboard,Generation Monitor,Feature Description,"Explanation of live kW/MW output tracking — data refresh rate, historical trend views.",Ask for actual data refresh interval (real-time/15-min/hourly).,Medium,To Collect,,
Energy Intelligence Platform,Real-Time Dashboard,Consumption Monitor,Feature Description,"Explanation of load tracking and peak demand monitoring capability, alerts for demand spikes.",Ask if this integrates with client's existing energy meters/SCADA.,Medium,To Collect,,
Energy Intelligence Platform,Real-Time Dashboard,Banking Ledger,Feature Description,"Explanation of energy banking — units credited vs drawn under open access/group captive banking rules, monthly settlement view.",Confirm state-wise banking rules referenced are current (varies by DISCOM).,Medium,To Collect,,
Energy Intelligence Platform,Real-Time Dashboard,Surplus / Deficit Management,Feature Description,Explanation of automated surplus sale / deficit purchase mechanism and how the platform flags/triggers this.,Ask for an example scenario walkthrough.,Medium,To Collect,,
Energy Intelligence Platform,Real-Time Dashboard,Alerts & Reports,Feature Description,"Explanation of automated daily/weekly/monthly reporting and alerting — format (email/SMS/app), sample report.",Request a sample report template/screenshot.,Medium,To Collect,,
Energy Intelligence Platform,BESS Intelligence,Section Intro,Value Proposition Copy,Explanation of tagline 'Charge smart. Discharge smarter.' and overall BESS intelligence capability.,Confirm if this is a proprietary algorithm/software Integrum built.,High,To Collect,,
Energy Intelligence Platform,BESS Intelligence,When to Charge,Feature Description,Explanation of off-peak/surplus-triggered charging logic.,"Ask for the specific triggers/inputs used (tariff time-of-day, surplus generation, etc.).",Medium,To Collect,,
Energy Intelligence Platform,BESS Intelligence,When to Discharge,Feature Description,Explanation of peak/outage/high-tariff-triggered discharge logic.,"Ask how outage detection works (grid signal, manual, sensor).",Medium,To Collect,,
Energy Intelligence Platform,BESS Intelligence,When to Hold,Feature Description,Explanation of demand buffer / reserve capacity logic.,Ask for minimum reserve % typically maintained.,Medium,To Collect,,
Energy Intelligence Platform,BESS Intelligence,Automated Dispatch,Feature Description,Explanation of AI-based scheduling and forecasting engine driving dispatch decisions.,"Ask what forecasting inputs are used (weather, load history, tariff signals).",Medium,To Collect,,
Energy Intelligence Platform,Open Access Tracker,Section Content,Feature Description,"Explanation of KERC/State Open Access status tracking — what statuses are tracked, which states/DISCOMs covered.",Confirm current list of states covered and whether feature is live or planned.,High,To Collect,,
Energy Intelligence Platform,Savings Calculator,Section Intro,Value Proposition Copy,Explanation of tagline 'Know your savings before you switch.' and calculator suite overview.,Confirm if calculators are live/interactive tools or lead-gen forms.,High,To Collect,,
Energy Intelligence Platform,Savings Calculator,Electricity Bill Estimator,Tool Description + Inputs/Assumptions,"Description of what inputs are needed (current tariff, monthly consumption, state) and output format (monthly savings projection).",Request the actual calculation logic/formula and current tariff data by state.,High,To Collect,,
Energy Intelligence Platform,Savings Calculator,Solar ROI Calculator,Tool Description + Inputs/Assumptions,"Description of inputs (roof/land area, budget, load) and outputs (payback period, IRR, 25-yr returns).","Request assumptions used: capex/kW, degradation rate, discount rate, tariff escalation.",High,To Collect,,
Energy Intelligence Platform,Savings Calculator,Open Access Savings,Tool Description + Inputs/Assumptions,Description comparing grid tariff vs open access tariff by state/DISCOM.,"Request latest state-wise open access charges (wheeling, banking, cross-subsidy surcharge) data.",High,To Collect,,
Energy Intelligence Platform,Savings Calculator,Carbon Offset Tracker,Tool Description + Inputs/Assumptions,Description of CO2 reduction calculation methodology and units displayed (tCO2e).,Request emission factor/methodology source (e.g. CEA grid emission factor) used for calculation.,Medium,To Collect,,
Knowledge Hub,Client Outcomes,Section Intro,Overview Copy,Intro copy for the case studies index page listing all client outcomes.,"Confirm how many case studies to launch with (site currently references 3: Green Steel, Cement, Integrated Energy Solution).",High,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Green Steel — Client Overview,Client Background Copy,Company profile/industry/scale for the Green Steel case study (can be anonymized if client requires).,Confirm disclosure approval and whether real or anonymized name is used.,High,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Green Steel — Challenge,Problem Statement Copy,Description of the client's original energy cost/sustainability challenge before Integrum engagement.,"Ask for specific baseline numbers (cost/unit, % renewable, pain points).",High,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Green Steel — Solution Design,SPARK Application Copy,Explanation of how the SPARK framework was applied to design the solution for this client.,Ask which SPARK stages were most critical for this project.,High,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Green Steel — Financial Impact,Savings / IRR Data,"Quantified financial results (Rs savings/unit, before-after tariff, IRR, payback) for this case.",Confirm figures are client-approved for public disclosure.,High,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Green Steel — ESG Impact,Sustainability Metrics,"CO2 reduction, % renewable achieved, other ESG outcomes (jobs, water savings, etc.) for this case.","Request verified ESG figures, ideally third-party audited.",Medium,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Cement — Client Overview,Client Background Copy,Company profile/industry/scale for the Cement case study (can be anonymized if client requires).,Confirm disclosure approval and whether real or anonymized name is used.,High,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Cement — Challenge,Problem Statement Copy,Description of the client's original energy cost/sustainability challenge before Integrum engagement.,"Ask for specific baseline numbers (cost/unit, % renewable, pain points).",High,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Cement — Solution Design,SPARK Application Copy,Explanation of how the SPARK framework was applied to design the solution for this client.,Ask which SPARK stages were most critical for this project.,High,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Cement — Financial Impact,Savings / IRR Data,"Quantified financial results (Rs savings/unit, before-after tariff, IRR, payback) for this case.",Confirm figures are client-approved for public disclosure.,High,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Cement — ESG Impact,Sustainability Metrics,"CO2 reduction, % renewable achieved, other ESG outcomes (jobs, water savings, etc.) for this case.","Request verified ESG figures, ideally third-party audited.",Medium,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Integrated Energy Solution — Client Overview,Client Background Copy,Company profile/industry/scale for the Integrated Energy Solution case study (can be anonymized if client requires).,Confirm disclosure approval and whether real or anonymized name is used.,High,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Integrated Energy Solution — Challenge,Problem Statement Copy,Description of the client's original energy cost/sustainability challenge before Integrum engagement.,"Ask for specific baseline numbers (cost/unit, % renewable, pain points).",High,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Integrated Energy Solution — Solution Design,SPARK Application Copy,Explanation of how the SPARK framework was applied to design the solution for this client.,Ask which SPARK stages were most critical for this project.,High,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Integrated Energy Solution — Financial Impact,Savings / IRR Data,"Quantified financial results (Rs savings/unit, before-after tariff, IRR, payback) for this case.",Confirm figures are client-approved for public disclosure.,High,To Collect,Provided as a separate mail,
Knowledge Hub,Client Outcomes,Case Study — Integrated Energy Solution — ESG Impact,Sustainability Metrics,"CO2 reduction, % renewable achieved, other ESG outcomes (jobs, water savings, etc.) for this case.","Request verified ESG figures, ideally third-party audited.",Medium,To Collect,Provided as a separate mail,
Knowledge Hub,Industries,Manufacturing,Industry Page Copy,"Overview of energy challenges specific to Manufacturing, relevant Integrum solutions, and any sector-specific stats/case references.","Ask for sector-specific data points (energy intensity, typical load profile).",Medium,To Collect,,
Knowledge Hub,Industries,Chemicals,Industry Page Copy,"Overview of energy challenges specific to Chemicals, relevant Integrum solutions, and any sector-specific stats/case references.","Ask for sector-specific data points (energy intensity, typical load profile).",Medium,To Collect,,
Knowledge Hub,Industries,Metals & Mining,Industry Page Copy,"Overview of energy challenges specific to Metals & Mining, relevant Integrum solutions, and any sector-specific stats/case references.","Ask for sector-specific data points (energy intensity, typical load profile).",Medium,To Collect,,
Knowledge Hub,Industries,Commercial Real Estate,Industry Page Copy,"Overview of energy challenges specific to Commercial Real Estate, relevant Integrum solutions, and any sector-specific stats/case references.","Ask for sector-specific data points (energy intensity, typical load profile).",Medium,To Collect,,
Knowledge Hub,Insights,Thought Leadership,Article Content,"Initial set of thought-leadership articles/blog posts (topics, authors, publish cadence).","Ask who will author these (leadership team, external agency) and how often published.",Low,To Collect,,
Knowledge Hub,Insights,Market Outlook,Article Content,Content on renewable energy market trends/outlook relevant to India C&I segment.,"Ask for preferred data sources (CEA, IEA, MNRE reports) to cite.",Low,To Collect,,
Knowledge Hub,Insights,Regulatory Updates,Article Content,"Ongoing content tracking Open Access, KERC, and broader policy updates relevant to clients.",Confirm which states/regulators to prioritize and update frequency.,Low,To Collect,,
Investors,Investor Overview,Section Content,Business Model & ESG Thesis,Summary of business model and ESG investment thesis for investor audience.,Confirm whether company is listed/pre-IPO — this affects what disclosures are required.,High,To Collect,,
Investors,Financial Performance,Section Content,"Annual/Quarterly Reports, Audited Statements","Annual Reports (AR), Quarterly Results (QR), and audited financial statements to publish.",Request latest signed-off financials from finance team; confirm public disclosure clearance.,High,To Collect,,
Investors,Corporate Governance,Section Content,"Board, Committees, Code of Conduct","Board of Directors bios, committee composition (audit, nomination, etc.), code of conduct documents.",Request updated board bios/photos and governance policy PDFs.,High,To Collect,,
Investors,Shareholding Pattern,Section Content,Promoter / Public / FII Holding Data,"Current shareholding pattern breakdown (promoter, public, FII/institutional).",Request latest quarter's shareholding disclosure filing.,High,To Collect,,
Investors,Stock Exchange Filings,Section Content,BSE / NSE / SEBI Filings,"List/links of regulatory filings to publish (BSE, NSE, SEBI disclosures).","Confirm whether company is currently listed; if not, may not need this section yet.",Medium,To Collect,,
Investors,ESG & Sustainability,Section Content,"BRSR, tCO2e, Social Metrics","Business Responsibility & Sustainability Report (BRSR) data, carbon metrics (tCO2e), social impact metrics.",Request latest BRSR filing and sustainability data set.,Medium,To Collect,,
Investors,Press & Analyst,Section Content,"Press Releases, Analyst Coverage",Company press releases and any analyst coverage/reports to feature.,Ask PR/comms team for current release archive.,Medium,To Collect,,
Investors,Investor Contact,Section Content,"RTA, IEPF, Grievance Contact Details","Registrar & Transfer Agent (RTA) contact, IEPF nodal officer details, investor grievance contact/process.",Request from company secretary/compliance team.,Medium,To Collect,,
About,Vision & Mission,Section Content,Vision/Mission Statement,Finalized vision and mission statements for the company.,Confirm with founders/leadership for final wording.,High,To Collect,,
About,Leadership Team,Section Content,Bios + Photos,"Leadership team bios (background, experience) and professional headshots.",Request bios (75-100 words each) and high-res photos from each leader.,High,To Collect,,
About,The SPARK Difference,Section Content,Differentiation Copy (vs. pure EPC players),Explanation of how full-lifecycle SPARK partnership differs from companies that only do EPC (build-and-leave).,Ask for specific competitive comparison points client wants to highlight.,Medium,To Collect,,
About,Why Integrum,Section Content,Value Proposition Copy,"Core reasons a client should choose Integrum — track record, technology, financing flexibility, etc.",Ask for top 3-5 differentiators leadership wants emphasized.,Medium,To Collect,,
About,Our People,Section Content,"Life at Integrum, Open Roles, Employee Value Prop","Content on culture/life at the company, current job openings, employee benefits/offers.",Request current open positions list from HR and any employee testimonials/photos.,Medium,To Collect,,
About,Culture & Certifications,Section Content,Culture Description + Certification Logos,"Description of company culture/values plus any certifications (ISO, safety, quality) with logos/proof documents.",Request valid certification copies/logos with expiry dates.,Low,To Collect,,
Contact,Contact Form,Section Content,Form Fields + Routing,"Confirm form fields needed (name, company, email, phone, message, interest area) and who receives submissions.",Ask which team/inbox should receive leads and expected response time to display.,High,To Collect,,
Contact,Office Locations,Section Content,Address(es) + Map,"Full office address(es), phone numbers, and map embed details (currently: Bengaluru, Karnataka, +91 80 41736111, info@integrumenergy.in).",Confirm if there are additional regional/site offices to list.,High,To Collect,,
Contact,Talk to an Energy Advisor,Section Content,CTA Copy + Scheduling Link,"CTA text and any scheduling tool link (Calendly, etc.) for booking a call with an advisor.",Ask if a live scheduling tool should be integrated or a simple contact form is preferred.,Medium,To Collect,,
Global / Footer / Utility,Global,Logo & Brand Assets,"Logo files, brand guidelines","Master logo files (light/dark versions), brand color palette, font guidelines, favicon.",Request brand guideline PDF if one exists.,High,To Collect,,
Global / Footer / Utility,Global,SEO / Meta Content,"Meta titles, descriptions, OG images",Page-level meta titles/descriptions and social share (OG) images for each major page.,Confirm keyword priorities with client's marketing/SEO team.,Medium,To Collect,,
Global / Footer / Utility,Global,Legal Disclaimers,Compliance Language,"Any regulatory disclaimers required for energy/investor content (SEBI disclosure language, etc.).",Request from legal/compliance team.,Medium,To Collect,,
Global / Footer / Utility,Footer,Careers,Careers Page Copy + Job Listings,"List of current open roles with descriptions, or link to careers platform.",Confirm if careers are hosted on this site or an external ATS link.,Medium,To Collect,,
Global / Footer / Utility,Footer,Downloads & Resources,"Brochures, Datasheets, Whitepapers","Company brochure, product/solution datasheets, whitepapers, case study PDFs for download.",Request final approved PDF versions of each collateral piece.,Medium,To Collect,,
Global / Footer / Utility,Footer,ESG / Sustainability,Sustainability Report / Policy,Public-facing ESG/sustainability summary or full report PDF.,Confirm latest published year's report is ready for release.,Medium,To Collect,,
Global / Footer / Utility,Footer,Investor Relations,IR Quick Links,Cross-link confirmation to Investors section content (see Investors rows above).,No new content — verify links only.,Low,To Collect,,
Global / Footer / Utility,Footer,Privacy Policy,Legal Document,Full privacy policy text compliant with applicable Indian data protection law (DPDP Act).,Recommend legal counsel draft/review this document.,High,To Collect,,
Global / Footer / Utility,Footer,Terms & Legal,Legal Document,Terms of use / terms & conditions document for the website.,Recommend legal counsel draft/review this document.,High,To Collect,,
